ASOCCode,ObserverNumber,Year,DeploymentNumber,SubTripNumber,SetNumber,Country,Quota,SetType,VesselSideNumber,VesselClass,VesselLength,VesselHorsepower,Day,Month,HaulDay,HaulMonth,StartTime,Duration,PositionPrecision,StartLatitude,StartLongitude,EndLatitude,EndLongitude,NAFODivision,UnitArea,StatisticalArea,InOut200MileLimit,GearType,CodendMeshSize,MeshSizeMG,MeshSizeFG,RollerBobbbinDiameter,NumberGillnets,AverageGillnetLength,GrateBarSpacing,FootropeLength,NumberWindows,NumberHooks,NumberPots,NumberPotReleasedCrab,GearDamage,AverageTowSpeed,AverageDepth,DataSource,DirectedSpecies,NumberSpecies,RecordType,DetailedCatchSpeciesCompCode,LogbookIDNumber1,LogbookIDNumber2,SpeciesCode,KeptWeight,DiscardWeight,EstimatedWeightReleasedCrab,NumberIndividuals
79051,234,2023,21,A1,1,3,3,1,137861,3,,,28,4,29,4,2225,3.6,2,5144.69,5340.78,5151.62,5342.05,3K,KB,,1,17,42,42,,,,,22,28,0,,,,1,2.2,444,1,8111,9,1,Y,,,,,,,
79051,234,2023,21,A1,1,3,3,1,137861,3,,,28,4,29,4,2225,3.6,2,5144.69,5340.78,5151.62,5342.05,3K,KB,,1,17,42,42,,,,,22,28,0,,,,1,2.2,444,1,8111,9,2,Y,,,90,,1,,
79051,234,2023,21,A1,1,3,3,1,137861,3,,,28,4,29,4,2225,3.6,2,5144.69,5340.78,5151.62,5342.05,3K,KB,,1,17,42,42,,,,,22,28,0,,,,1,2.2,444,1,8111,9,2,Y,,,187,,1,,
79051,234,2023,21,A1,1,3,3,1,137861,3,,,28,4,29,4,2225,3.6,2,5144.69,5340.78,5151.62,5342.05,3K,KB,,1,17,42,42,,,,,22,28,0,,,,1,2.2,444,1,8111,9,2,Y,,,438,,1,,
79051,234,2023,21,A1,1,3,3,1,137861,3,,,28,4,29,4,2225,3.6,2,5144.69,5340.78,5151.62,5342.05,3K,KB,,1,17,42,42,,,,,22,28,0,,,,1,2.2,444,1,8111,9,2,Y,,,725,,2,,
79051,234,2023,21,A1,1,3,3,1,137861,3,,,28,4,29,4,2225,3.6,2,5144.69,5340.78,5151.62,5342.05,3K,KB,,1,17,42,42,,,,,22,28,0,,,,1,2.2,444,1,8111,9,2,Y,,,792,,10,,
79051,234,2023,21,A1,1,3,3,1,137861,3,,,28,4,29,4,2225,3.6,2,5144.69,5340.78,5151.62,5342.05,3K,KB,,1,17,42,42,,,,,22,28,0,,,,1,2.2,444,1,8111,9,2,Y,,,889,,2,,
79051,234,2023,21,A1,1,3,3,1,137861,3,,,28,4,29,4,2225,3.6,2,5144.69,5340.78,5151.62,5342.05,3K,KB,,1,17,42,42,,,,,22,28,0,,,,1,2.2,444,1,8111,9,2,Y,,,890,,1,,
79051,234,2023,21,A1,1,3,3,1,137861,3,,,28,4,29,4,2225,3.6,2,5144.69,5340.78,5151.62,5342.05,3K,KB,,1,17,42,42,,,,,22,28,0,,,,1,2.2,444,1,8111,9,2,Y,,,892,,5,,
79051,234,2023,21,A1,1,3,3,1,137861,3,,,28,4,29,4,2225,3.6,2,5144.69,5340.78,5151.62,5342.05,3K,KB,,1,17,42,42,,,,,22,28,0,,,,1,2.2,444,1,8111,9,2,Y,,,8111,968,1,,
79051,234,2023,21,A1,2,3,3,1,137861,3,,,29,4,29,4,255,5.1,2,5151.56,5342.61,5201.75,5341.42,3K,KB,,1,17,42,42,,,,,22,28,0,,,,1,2.2,435,1,8111,9,1,Y,,,,,,,
79051,234,2023,21,A1,2,3,3,1,137861,3,,,29,4,29,4,255,5.1,2,5151.56,5342.61,5201.75,5341.42,3K,KB,,1,17,42,42,,,,,22,28,0,,,,1,2.2,435,1,8111,9,2,Y,,,90,,1,,
79051,234,2023,21,A1,2,3,3,1,137861,3,,,29,4,29,4,255,5.1,2,5151.56,5342.61,5201.75,5341.42,3K,KB,,1,17,42,42,,,,,22,28,0,,,,1,2.2,435,1,8111,9,2,Y,,,187,,1,,
79051,234,2023,21,A1,2,3,3,1,137861,3,,,29,4,29,4,255,5.1,2,5151.56,5342.61,5201.75,5341.42,3K,KB,,1,17,42,42,,,,,22,28,0,,,,1,2.2,435,1,8111,9,2,Y,,,438,,1,,
79051,234,2023,21,A1,2,3,3,1,137861,3,,,29,4,29,4,255,5.1,2,5151.56,5342.61,5201.75,5341.42,3K,KB,,1,17,42,42,,,,,22,28,0,,,,1,2.2,435,1,8111,9,2,Y,,,725,,2,,
79051,234,2023,21,A1,2,3,3,1,137861,3,,,29,4,29,4,255,5.1,2,5151.56,5342.61,5201.75,5341.42,3K,KB,,1,17,42,42,,,,,22,28,0,,,,1,2.2,435,1,8111,9,2,Y,,,792,,10,,
79051,234,2023,21,A1,2,3,3,1,137861,3,,,29,4,29,4,255,5.1,2,5151.56,5342.61,5201.75,5341.42,3K,KB,,1,17,42,42,,,,,22,28,0,,,,1,2.2,435,1,8111,9,2,Y,,,889,,2,,
79051,234,2023,21,A1,2,3,3,1,137861,3,,,29,4,29,4,255,5.1,2,5151.56,5342.61,5201.75,5341.42,3K,KB,,1,17,42,42,,,,,22,28,0,,,,1,2.2,435,1,8111,9,2,Y,,,890,,1,,
79051,234,2023,21,A1,2,3,3,1,137861,3,,,29,4,29,4,255,5.1,2,5151.56,5342.61,5201.75,5341.42,3K,KB,,1,17,42,42,,,,,22,28,0,,,,1,2.2,435,1,8111,9,2,Y,,,892,,20,,
79051,234,2023,21,A1,2,3,3,1,137861,3,,,29,4,29,4,255,5.1,2,5151.56,5342.61,5201.75,5341.42,3K,KB,,1,17,42,42,,,,,22,28,0,,,,1,2.2,435,1,8111,9,2,Y,,,8111,2552,1,,
79051,234,2023,21,A1,3,3,3,1,137861,3,,,29,4,29,4,855,4.1,2,5202.05,5347.16,5209.45,5344.17,3K,KB,,1,17,42,42,,,,,22,28,0,,,,1,2.2,430,1,8111,9,1,Y,,,,,,,
79051,234,2023,21,A1,3,3,3,1,137861,3,,,29,4,29,4,855,4.1,2,5202.05,5347.16,5209.45,5344.17,3K,KB,,1,17,42,42,,,,,22,28,0,,,,1,2.2,430,1,8111,9,2,Y,,,90,,1,,
79051,234,2023,21,A1,3,3,3,1,137861,3,,,29,4,29,4,855,4.1,2,5202.05,5347.16,5209.45,5344.17,3K,KB,,1,17,42,42,,,,,22,28,0,,,,1,2.2,430,1,8111,9,2,Y,,,187,,1,,
79051,234,2023,21,A1,3,3,3,1,137861,3,,,29,4,29,4,855,4.1,2,5202.05,5347.16,5209.45,5344.17,3K,KB,,1,17,42,42,,,,,22,28,0,,,,1,2.2,430,1,8111,9,2,Y,,,438,,1,,
